Step,value_losses
0,2.5397931174375117
1,7.678406523598824
2,6.684060747851618
3,19.258204926969483
4,10.828899665735662
5,17.07519872672856
6,2.848974147811532
7,5.045464888215065
8,11.917660504579544
9,2.8105354011058807
10,6.893261611461639
11,15.02120915055275
12,4.369326658546925
13,3.9421481266617775
14,12.797687456011772
15,9.892116323113441
16,13.374063715338707
17,1.741059709340334
18,11.285479437559843
19,5.637162417173386
20,4.574840247631073
21,10.264519341289997
22,3.792419195175171
23,3.6612152606248856
24,11.688348971307278
25,2.834559164941311
26,6.776094742119312
27,2.4127113055437803
28,11.581146506592631
29,1.8610076252371073
30,10.980096785351634
31,7.300549665465951
32,8.159393850713968
33,5.064773304387927
34,3.142040368169546
35,6.722710698843002
36,2.345557864755392
37,10.082882698625326
38,4.385880328714848
39,2.4774787686765194
40,7.085374129936099
41,5.341365445405245
42,1.8950783722102642
43,4.005739286541939
44,9.94352064654231
45,7.164643753319979
46,14.278199199587107
47,2.283875647932291
48,3.98963575810194
49,3.844019342213869
50,3.7480219155550003
51,2.7368456833064556
52,2.9612964391708374
53,2.8142454847693443
54,4.2740186378359795
55,3.536924008280039
56,4.170572377741337
57,5.791871070861816
58,5.4449070654809475
59,15.23069902509451
60,10.728860445320606
61,15.469032067805529
62,3.106238881126046
63,6.729841593652964
64,6.971472946926951
65,15.729715127497911
66,22.63380206003785
67,31.361594643443823
68,27.51804557442665
69,21.196753069758415
70,17.45969320461154
71,34.65362587943673
72,23.946072086691856
73,32.13214760273695
74,29.556507404893637
75,55.51140568032861
76,35.955228827893734
77,13.357938885688782
78,18.494311850517988
79,16.140752866864204
80,6.38282148167491
81,3.472045700997114
82,3.933575000613928
83,10.446105863898993
84,4.9430413991212845
85,4.8946644850075245
86,10.898831114172935
87,10.572079792618752
88,7.280367583036423
89,17.526180680841208
90,16.62310130149126
91,22.81838073581457
92,27.771528124809265
93,22.891818087548018
94,20.863404419273138
95,21.232859268784523
96,25.67501800879836
97,23.895001586526632
98,29.303480997681618
99,54.05975901335478
100,26.70579806342721
101,39.48567517101765
102,6.749321807175875
103,5.488269306719303
104,19.845029212534428
105,12.709546141326427
106,22.29226314648986
107,8.523700304329395
108,32.267921309918165
109,3.5382467806339264
110,6.683954861015081
111,6.579831592738628
112,4.851120665669441
113,5.4698330499231815
114,9.726593613624573
115,3.89943465590477
116,4.069484833627939
117,6.0795661471784115
118,10.242093458771706
119,5.411840360611677
120,6.312449213117361
121,12.50498567149043
122,15.777876753360033
123,17.584394712001085
124,30.279798075556755
125,22.251272525638342
126,20.785532366484404
127,20.573595803231
128,24.709742717444897
129,23.750498168170452
130,34.660945542156696
131,20.297701098024845
132,39.21878843009472
133,14.66995382681489
134,7.76619578152895
135,4.011608626693487
136,5.516867395490408
137,22.94217210263014
138,6.953270394355059
139,17.239833991974592
140,18.648462671786547
141,4.837916672229767
142,5.696238860487938
143,6.741761889308691
144,5.405900571495295
145,5.538972150534391
146,8.605955921113491
147,30.823078341782093
148,40.23667677864432
149,24.992399249225855
150,6.107569321990013
151,7.129486061632633
152,13.20884158834815
153,13.226896274834871
154,17.689415089786053
155,8.674460530281067
156,18.54476828314364
157,32.44614916667342
158,12.5603748857975
159,9.502167247235775
160,11.510025553405285
161,20.045122630894184
162,25.34564582630992
163,21.79810545966029
164,15.045472968369722
165,54.3607076741755
166,26.33746674656868
167,7.543414857238531
168,1.5509851016104221
169,9.450470373034477
170,8.1970369592309
171,6.31584220007062
172,7.069955971091986
173,4.767658561468124
174,7.4390447326004505
175,7.446861675009131
176,7.30494221765548
177,5.382191838696599
178,7.326457988470793
179,12.87375520169735
180,8.488069228827953
181,18.873823791742325
182,22.82827628403902
183,8.831838451325893
184,24.403351098299026
185,7.4431579522788525
186,14.021525640040636
187,14.13441887497902
188,25.574685659259558
189,12.521448772400618
190,26.639124520123005
191,21.796831004321575
192,23.805721398442984
193,36.704061564058065
194,35.69523365795612
195,31.056921608746052
196,10.14586839824915
197,7.048074711114168
198,4.487738694995642
199,4.751542266458273
200,13.54697460308671
201,9.146378953009844
202,9.8909255489707
203,4.092012520879507
204,11.924061767756939
205,6.778295833617449
206,8.658043820410967
207,0.30642151832580566
208,9.744705725461245
